x_mi,y_px,y_ft
1.069948,236.00,3009.4
1.071309,237.00,3018.1
1.072670,237.00,3018.1
1.074031,238.00,3026.7
1.075393,238.50,3031.1
1.076754,239.00,3035.4
1.078115,239.50,3039.8
1.079476,240.00,3044.1
1.080838,241.00,3052.8
1.082199,241.50,3057.1
1.083560,242.00,3061.5
1.084921,243.00,3070.2
1.086283,243.00,3070.2
1.087644,243.50,3074.5
1.089005,244.00,3078.8
1.090366,244.50,3083.2
1.091728,244.50,3083.2
1.093089,244.50,3083.2
1.094450,244.50,3083.2
1.095812,244.50,3083.2
1.097173,244.50,3083.2
1.098534,244.00,3078.8
1.099895,243.50,3074.5
1.101257,243.50,3074.5
1.102618,243.50,3074.5
1.103979,243.50,3074.5
1.105340,243.50,3074.5
1.106702,243.50,3074.5
1.108063,244.50,3083.2
1.109424,244.50,3083.2
1.110785,245.00,3087.5
1.112147,246.00,3096.2
1.113508,246.00,3096.2
1.114869,246.50,3100.5
1.116230,246.50,3100.5
1.117592,246.50,3100.5
1.118953,247.00,3104.9
1.120314,247.50,3109.2
1.121675,248.00,3113.6
1.123037,249.00,3122.3
1.124398,249.00,3122.3
1.125759,250.00,3130.9
1.127120,251.00,3139.6
1.128482,251.00,3139.6
1.129843,252.00,3148.3
1.131204,252.50,3152.6
1.132565,253.00,3157.0
1.133927,254.00,3165.7
1.135288,254.00,3165.7
1.136649,255.00,3174.4
1.138010,255.50,3178.7
1.139372,256.00,3183.0
1.140733,256.00,3183.0
1.142094,257.00,3191.7
1.143455,257.00,3191.7
1.144817,258.00,3200.4
1.146178,258.00,3200.4
1.147539,259.00,3209.1
1.148901,259.50,3213.4
1.150262,260.25,3219.9
1.151623,261.00,3226.5
1.152984,261.50,3230.8
1.154346,262.00,3235.1
1.155707,263.00,3243.8
1.157068,264.00,3252.5
1.158429,264.00,3252.5
1.159791,265.00,3261.2
1.161152,265.50,3265.5
1.162513,266.00,3269.9
1.163874,266.83,3277.1
1.165236,267.67,3284.4
1.166597,268.50,3291.6
1.167958,268.00,3287.2
1.169319,268.00,3287.2
1.170681,268.75,3293.8
1.172042,269.50,3300.3
1.173403,269.50,3300.3
1.174764,269.50,3300.3
1.176126,269.50,3300.3
1.177487,270.00,3304.6
1.178848,269.50,3300.3
1.180209,269.00,3295.9
1.181571,268.50,3291.6
1.182932,268.00,3287.2
1.184293,269.00,3295.9
1.185654,269.50,3300.3
1.187016,269.00,3295.9
1.188377,268.50,3291.6
1.189738,268.50,3291.6
1.191099,267.00,3278.6
1.192461,267.00,3278.6
1.193822,267.50,3282.9
1.195183,267.50,3282.9
1.196545,268.17,3288.7
1.197906,268.83,3294.5
1.199267,269.50,3300.3
1.200628,269.00,3295.9
1.201990,269.00,3295.9
1.203351,270.00,3304.6
1.204712,270.62,3310.0
1.206073,271.25,3315.5
1.207435,271.88,3320.9
1.208796,272.50,3326.3
1.210157,273.00,3330.7
1.211518,274.00,3339.4
1.212880,274.50,3343.7
1.214241,274.50,3343.7
1.215602,275.00,3348.0
1.216963,275.00,3348.0
1.218325,276.00,3356.7
1.219686,276.00,3356.7
1.221047,276.70,3362.8
1.222408,277.40,3368.9
1.223770,278.10,3375.0
1.225131,278.80,3381.0
1.226492,279.50,3387.1
1.227853,280.00,3391.5
1.229215,280.50,3395.8
1.230576,280.00,3391.5
1.231937,280.33,3394.3
1.233298,280.67,3397.2
1.234660,281.00,3400.1
1.236021,282.00,3408.8
1.237382,282.50,3413.2
1.238743,283.00,3417.5
1.240105,283.00,3417.5
1.241466,283.50,3421.8
1.242827,283.50,3421.8
1.244188,283.50,3421.8
1.245550,283.50,3421.8
1.246911,283.50,3421.8
1.248272,284.00,3426.2
1.249634,284.00,3426.2
1.250995,283.00,3417.5
1.252356,284.25,3428.4
1.253717,285.50,3439.2
1.255079,285.50,3439.2
1.256440,285.50,3439.2
1.257801,285.50,3439.2
1.259162,286.00,3443.6
1.260524,286.50,3447.9
1.261885,286.50,3447.9
1.263246,287.00,3452.2
1.264607,287.50,3456.6
1.265969,287.50,3456.6
1.267330,287.50,3456.6
1.268691,288.50,3465.3
1.270052,288.50,3465.3
1.271414,288.50,3465.3
1.272775,288.50,3465.3
1.274136,289.00,3469.6
1.275497,289.50,3473.9
1.276859,289.50,3473.9
1.278220,289.50,3473.9
1.279581,289.50,3473.9
1.280942,290.00,3478.3
1.282304,290.50,3482.6
1.283665,290.50,3482.6
1.285026,290.50,3482.6
1.286387,290.50,3482.6
1.287749,290.50,3482.6
1.289110,290.50,3482.6
1.290471,291.50,3491.3
1.291832,291.50,3491.3
1.293194,291.50,3491.3
1.294555,291.50,3491.3
1.295916,291.50,3491.3
1.297277,292.50,3500.0
1.298639,292.50,3500.0
1.300000,292.50,3500.0
